1Agent_id,2fast turn number,3turning_speed,4hb_number,5acc_number,6Average over speed,7ov_duration,8speeding times,9time
527006,1,4.888597495,53,4,9.001828627,4611,121,27514
527007,4,5.065190481,54,6,14.28119971,6257,214,35829
527008,0,3.4253058,262,32,49637.59725,24670,559,107009
527010,2,6.371149132,9,0,2.784030172,706,23,2857
527011,1,3.925273922,76,4,19.91322542,9939,287,60490
527012,0,5.522685593,4,1,12.45150479,6280,284,54242
527013,0,4.096960486,5,3,9.308979428,10904,173,70477
527014,11,4.786674002,89,3,29.91940641,10071,354,60151
527015,2,3.79270836,40,2,11.2674348,4061,115,32422
527016,2,5.396612022,18,0,1.647126461,662,41,11735
527018,6,4.888143126,57,15,17.87433712,8977,290,62953
527019,1,3.113913103,58,2,5.192865791,3260,114,28808
527020,2,4.180442374,35,2,8.779666063,6042,71,17909
527021,2,3.951778923,38,1,13.89639519,5941,185,29252
527022,4,4.040788252,76,17,27.77938168,7779,346,42888
527023,2,4.222580235,134,11,30.28917715,13783,411,73676
527024,5,4.662225267,7,2,30.07715262,9754,301,37916
527025,6,4.542303951,77,5,25.36849711,7798,284,58030
527026,3,4.498031623,1,0,8.427910621,9069,151,31106
527027,0,2.222940514,14,3,0.459377232,42,6,13587
527028,0,4.512387181,28,0,7.127674565,2195,86,13775
527031,3,2.828938136,5,2,0.923637251,2605,57,14392
527032,2,3.286011022,41,6,5.342421537,864,63,31421
527033,3,4.320915007,32,8,11.76676598,6740,173,35492
527034,3,4.64564405,19,1,4.507938637,3434,78,29931
527037,6,5.084625669,14,2,4.555327082,2438,79,11701
527038,1,4.869408282,16,0,4.269691061,1818,81,9893
527042,0,2.867815405,17,3,7.396466689,2213,103,75410
527055,10,5.623508253,154,9,31.58872961,18812,508,149460
527058,0,2.542902657,14,0,0.968682876,175,19,6324
527060,2,3.72032369,10,11,25.68827307,9303,371,61866
527061,0,3.475062072,18,3,13.87675082,9854,236,49831
527063,1,3.984598326,32,0,5.644912267,1129,68,16143
527066,2,3.866724378,80,3,31.45957567,8679,474,91105
527069,0,2.977318395,75,1,16.73562538,5694,167,47226
527071,1,4.391490024,0,0,0.122584101,500,10,4445
527073,3,4.172091286,62,14,13.13829811,2453,160,35927
527074,2,3.822963123,146,11,29.31944791,16359,520,113705
527078,4,4.072338129,57,34,109.5643927,8412,196,30800
527079,3,4.188811888,3,0,0.625345112,226,19,1435
527084,6,3.271585,43,7,15.27746181,4640,272,119048
527089,0,4.530555312,116,9,28.27092623,12832,453,92655
527091,6,8.558832697,1040,139,49127.09625,49073,1569,242334
527097,4,6.453486133,141,22,13893.25777,10556,511,87196
527102,5,3.228760354,96,23,12.70786114,4536,130,28794
527113,1,3.424260274,37,43,11.93121169,5883,235,70112
527116,0,3.822624976,0,0,0.699711715,875,25,9915
527118,3,2.871431241,216,3,50.49171716,9894,415,47190
527119,2,4.1255908,24,10,8.680123408,3764,115,31981
527126,0,3.293773346,49,5,4.086146493,806,64,35948
527127,5,4.166769934,126,11,41.8316836,33632,692,168983
527128,1,3.640698326,4,0,0.110099866,100,10,2343
527130,3,3.455116341,19,5,0.482086031,333,18,20265
527135,0,4.961478206,7,0,0.867054136,773,34,4939
527137,11,4.891007972,67,4,13.5899476,5902,184,30132
527141,1,3.694744959,140,5,20.57313097,8184,286,57999
527144,1,3.700935442,48,18,17.76715289,9676,299,76092
